,spa_text,gum_text,origin,origin_details
33,"Ellos, después de oír al rey, se pusieron en camino, y la estrella que habían visto en oriente los guió hasta que llegó y se detuvo encima de donde estaba el niño.","Tru kusrebeløbe rey øyeeg eshkailø ambubelø gøn. Inchen estrella tru pørr gal-labgatøsrø asiibe nømui merraptø ya, yandø tru unø tsuim bala pasramisren,",bible,Mateo 2 - 9
34,"Al ver la estrella, se llenaron de una inmensa alegría.","tru kusreb møguelø estrellan ashabe, truba rruba kasraarabelø gøn.",bible,Mateo 2 - 10
35,"Entraron en la casa, vieron al niño con su madre María y lo adoraron postrados en tierra. Abrieron sus cofres y le ofrecieron como regalo oro, incienso y mirra.","Incha yau kebambabe, unamba, usri Maríanba ashabe, tømbønsra, køriibala tabig wamincha, nømui ketamelan kura, oro gøben, incienso gøben, mirra gøben ketøbelø gøn.",bible,Mateo 2 - 11
36,"Y advertidos en sueños que no regresaran donde estaba Herodes, regresaron a su país por otro camino.","Incha yandø nømune piabyu Herodesweimburab ammønrrain cha, eshkailø gua, nømui pirausrømaybe peg maywan ambubelø gøn.",bible,Mateo 2 - 12
37,"Cuando se fueron, el ángel del Señor se apareció en sueños a José y le dijo: –Levántate, toma al niño y a su madre, huye a Egipto y quédate allí hasta que yo te avise; porque Herodes va a buscar al niño para matarlo.","Yandø tru kusreb møguelø chab amben, Señorwei kan ángel Joséwan piabyu kenamisrabe, trenchibig køn: —Kurra, unan usranba perøb Egiptosrømay trubab inrrø cha. Incha trusrø na eshkamnegatig kørrømisrtrig cha. Kaguende Herodesbe unan kwetchab lanrrab gøn— cha.",bible,Mateo 2 - 13
38,"José se levantó de noche, tomó al niño y a su madre, y partió hacia Egipto,","Inchen Josébe kurra, unan usranba pera, yem Egiptosrømay webya, ya,",bible,Mateo 2 - 14
39,donde permaneció hasta la muerte de Herodes. Así se cumplió lo que había anunciado el Señor por el profeta: De Egipto llamé a mi hijo.,"trusrø tru Herodes kwamnegatig waraig købig køn. Øyeeg nebuppe, Tius maig karuigwan eshkabikkurri øyah taig, truig nebunrrain gúig køn: “Nai Nusrkawan Egiptogurri wamar” taig.",bible,Mateo 2 - 15
40,"Entonces Herodes, viéndose burlado por los sabios, se enfureció tanto que mandó matar a todos los niños de Belén y de todos sus alrededores que tuvieran menos de dos años, conforme a la información que había recibido de los sabios.","Inchen Herodes nun tru kusreb møguelø isin gúi mørabe, truba rruba nama, tru kusreb møguelø tru ureg chu uras kal-laigwan eshkaigwan, trunun cuenta mara kal-laingurrimbunø pa bilagatiguelø Belén pøtøgatan warabelan kerriguba kwetchain garubig køn.",bible,Mateo 2 - 16
41,Así se cumplió lo anunciado por el profeta Jeremías:,Øyamay nebuig køn Tius maig karuigwan eshkabig Jeremías øyah pørig:,bible,Mateo 2 - 17
42,"Se ha escuchado en Ramá un clamor, un gran llanto y lamento: es Raquel que llora por sus hijos, y no quiere consolarse porque ya no existen.","Ramá pueblosrø kan wam mørig køn cha. Truibe kan truba rruba isuig wamab kishib, tru Raquel nui uregweimburab isua, kishibig køn. Incha ‘kishmø, ka awentau’ taingucha, awentanrrab gaimabig køn cha, kaguende yandø ureemera chab gwaikken gøben.",bible,Mateo 2 - 18
43,"Cuando murió Herodes, el ángel del Señor se apareció en sueños a José en Egipto","Inchen yandø Herodes kwaben, Señorwei kan ángel Joséwan Egiptosrø piabyu kenamisra, trenchibig køn:",bible,Mateo 2 - 19
44,"y le dijo: –Levántate, toma al niño y a su madre, y regresa a la tierra de Israel, porque han muerto los que atentaban contra la vida del niño.","—Kurra, unanba usranba pera, Israel birausrømay katø inrrø cha. Kaguende unan kwetchab inchibeløbe yandø chab gwan— cha.",bible,Mateo 2 - 20
45,"José se levantó, tomó al niño y a su madre, y regresó con ellos a la tierra de Israel.","Inchen Josébe kurra, unanba usranba Israel birausrømay pera, ibig køn.",bible,Mateo 2 - 21
46,"Pero al oír que Arquelao reinaba en Judea como sucesor de su padre Herodes, tuvo miedo de ir allí. Entonces, avisado en sueños, se retiró a la región de Galilea","Inchen Herodeswein cuentabe nui nusrkai Arquelau Judea birau truig karub wan daig mørøppe, Josébe trusrømay yamig køriimatøben, Tius piabyu Judeasrømay imønrrai eshkaben, Galileasrømay ambig køn.",bible,Mateo 2 - 22
47,y se fue a vivir a un pueblo llamado Nazaret. De esta manera se cumplió lo anunciado por los profetas: que sería llamado nazareno.,"Incha Josébe trusrø puabe, Nazaret pueblosrø tsunrrab ibig køn. Iig øyeeg nebuppe, Tius maig karuigwan eshkab møguelø øyah taig nebunrrain gúig køn: “Jesúsbe nazaretsriig cha wamig kønrrun” daig.",bible,Mateo 2 - 23
48,En aquellos días apareció Juan el Bautista predicando en el desierto de Judea.,Tru gwalømmerawan Juan Bautista Judea birau mu misag warab waraimønug,bible,Mateo 3 - 1
49,"Decía: –Conviértanse, porque está llegando el reino de los cielos.","trenchib eshkab kusrenanøb arrubig køn: —Kaig mariilan isua møra, Tiusweimay lliray chib. Kaguende srømbalasrø Tius nø ashib karub waibe lutau basran— cha.",bible,Mateo 3 - 2
50,"A él se refería el profeta Isaías cuando dijo: Voz del que grita en el desierto: «Preparen el camino al Señor, nivelen sus senderos».","Tru Tius maig karuigwan eshkabig Isaías øyah pørig Juanbe truig kuig køn: Kan wam mu misag warab waraimønug trenchib trasan, daig: “Señorwei maywan tamarøb, nuyasig maymerane ølmarøb inday,” chib.",bible,Mateo 3 - 3
51,"Llevaba Juan un vestido de pelo de camello y una correa de cuero a su cintura, y se alimentaba de saltamontes y miel del campo.","Juan kewagúibe camello isiitøga marig købig køn. Inchen nui pørønaibe kaluswan marig køben, nui mamibe nørrø chapullba kaambu mielba gøbig køn.",bible,Mateo 3 - 4
52,"Acudían a él de Jerusalén, de toda Judea y de toda la región del Jordán","Jerusalén misaameraba, mayeelø Judea birau misaameraba, Jordán bi buluwaneløba nun mørtrab werrubelø gøn.",bible,Mateo 3 - 5
53,ellos reconocían sus pecados y Juan los bautizaba en el río Jordán.,"Incha nømui kaig mariilan ‘kaig marig køn’ chib eshkaben, Juanbe truilan Jordán biyu piu umbu ulsrøbig køn.",bible,Mateo 3 - 6
54,"Viendo que muchos fariseos y saduceos venían a que los bautizara, les dijo: –¡Raza de víboras! ¿Quién les enseñó a escapar del juicio inminente?","Inchen Juanbe fariseosmera gøben, saduceosmera gøben, truba nørrø nø piu umbu ulsrailø gønrrab amrrui ashabe, trenchibig køn: —¡Ñimbe ul lataig inchib misaamera! ¿Ñimune mu eshkata cha, Tiuswei purø gørig kømdiig ñimuim bala attrabig pub pasrabigugurri wegørrønrraimbe?",bible,Mateo 3 - 7
55,Den frutos que prueben su conversión,"Ñimui kaig mariilan isua møra, Tiusweimay llirawar guy, chibig køn, tørgandø asamdiig kønrrain cha.",bible,Mateo 3 - 8
56,y no piensen que basta con decir: «Somos descendientes de Abrahán». Porque les digo que Dios puede sacar de estas piedras descendientes de Abrahán.,"Incha ñimbe ñimasiitø øyeeg chib mendømøtay cha: “Nambe Abrahamwei misaamera guer” chib. Kaguende nabe trendamønrrun cha: Tiusbe i sruumeranguen Abrahamwei misaamera gønrrai marøg købene, martrun cha.",bible,Mateo 3 - 9
57,Ya está puesta el hacha a la raíz de los árboles y todo árbol que no dé fruto va a ser cortado y echado al fuego.,"Katø walømbe tusrmeran srølba para øramig chabguen srølyu pasringuen basran cha. Chi tusrwandøgucha tab mamig niimíigwane para, nagu kegutsan cha.",bible,Mateo 3 - 10
58,"Yo los bautizo con agua para que se conviertan, pero el que viene detrás de mí es más fuerte que yo, y no soy digno de quitarle las sandalias. El los bautizará con Espíritu Santo y fuego.","Nabe ñimune ciertonwei pi pinøbulrrai piu umbu ulsrar cha, kaig mariilan isua møra, Tiusweimay llirain gønmab asamdiig kønrrai. Trune nai wendau arrubiibe si, Espíritu Santotøgaba, naatøgaba pinøbulrrun cha. Truibe si, na lataguen gømø, maramburab marøbig køben, nabe truburab gømíig kua, nui alpargatiswanguen srua inrrabgaig kur cha.",bible,Mateo 3 - 11
59,"Tiene en su mano la horquilla para separar el trigo de la paja; recogerá su trigo en el granero, y la paja la quemará con un fuego que no se apaga.","Nøbe tirigun isig øra tarømartrab tru kala gutsamig tsig utigwan sruaguen basran cha. Incha truyu tru tirigu chishmari yabaløwan kerrigu chab chishmarabe, tirigune tirigu esegainug esegappe, shauwane mana kwamø nagu pattrun— chibig køn Juanbe.",bible,Mateo 3 - 12
60,Entonces Jesús vino desde Galilea al Jordán y se presentó a Juan para que lo bautizara.,"Jesúsbe Galileasrøngurri Jordán biyumay arrubig køn, tru Juan uninuumay nun piu umbu ulsrønrrai.",bible,Mateo 3 - 13
61,"Pero Juan trataba de impedírselo diciendo: –Soy yo quien necesito que tú me bautices, y ¿y tú vienes a mí?","Srøtøbe Juanbe nune piu umbu ulsrøg kømui incha, trenchibig køn: —Nane ñiguen rreeg marig kømdiig købendø, ¿ñiguen nan attirru?— cha.",bible,Mateo 3 - 14
62,Jesús le respondió: –Olvida eso ahora; pues conviene que cumplamos lo que Dios ha dispuesto. Entonces Juan accedió.,Inchen Jesúsbe trenchiptinchibig køn: —Møimbatøbe øyamay ka mar cha. Tius tru sølgandø tabig maramigwane nambe kutøgue øyamay maramig køn— cha. Inchen Juanbe ka treeg marøbig køn.,bible,Mateo 3 - 15
63,"Apenas fue bautizado, Jesús salió del agua y, en ese momento se abrieron los cielos y vio al Espíritu de Dios que bajaba como una paloma y descendía sobre él.","Incha Juanbe Jesúswan piu umbu ulsrøben, piyugurri webibig køn. Inchen møimbe srømbalabe kurøptinchen, Jesúsbe Tiuswei Espíritu nuim bala kan paloma lataig kørraarri ashibig køn.",bible,Mateo 3 - 16
64,"Y una voz que venía del cielo decía: –Este es mi Hijo amado, en quien me complazco.",Inchen srømbalasrøngurri kan wam trenchib waminchibig køn: —Iibe nai Nusrkai undaaraig køn cha. Nabe nuimburab truba tab gúi war— cha.,bible,Mateo 3 - 17
65,"Entonces el Espíritu condujo a Jesús al desierto, para que el diablo lo pusiera a prueba.","Inchen Espíritu Santobe mu misag warab waraimøsrømay Jesúswan pera yaig køn, nugwaimandzig nun kebenøsrkønrrab inchai.",bible,Mateo 4 - 1
66,"Después de ayunar cuarenta días y cuarenta noches, sintió hambre.","Inchen cuarenta días yem gwaløm chigucha mamøwa, yandø parøgwai mørøbig køn.",bible,Mateo 4 - 2
67,"El tentador se acercó entonces y le dijo: –Si eres Hijo de Dios, manda que estas piedras se conviertan en panes.","Inchen tru kebenøsrkønrrab inchibiibe Jesúswan kemallabe, trenchibig køn: —Isa gømø, tru ñi Tiuswei Nusrkain guabe, i sruumeran pirri misringaru— cha.",bible,Mateo 4 - 3
68,"Jesús le respondió: –Está escrito: No sólo de pan vive el hombre, sino de toda palabra que sale de la boca de Dios.","Inchen Jesúsbe trencha løtabig køn: —Tiuswei wamwan pørigube trenchibig køn cha: “Møøbe pirrindøgatø øsig tsumøtø, kerrigu Tiuswei wamdøgagucha tsumig køn”— cha.",bible,Mateo 4 - 4
69,"Después el diablo lo llevó a la ciudad santa, lo puso en la parte más alta del templo","Incha nugwaimandziibe Jesúswan Jerusalén tru Tiusweindø tarømari ciudasrømay srua ya, tru Tiuswei yau purø balasrø pasrabe,",bible,Mateo 4 - 5
70,"y le dijo: –Si eres Hijo de Dios, tírate abajo; porque está escrito: Dará órdenes a sus ángeles para que te lleven en brazos, de modo que tu pie no tropiece con ninguna piedra.","trenchibig køn: —Isa gømø, tru ñi Tiuswei Nusrkain guabe, pirausrø pørsrau cha. Kaguende Tiuswei wamyube trenchibig pørig pasran cha: Tiusbe nui ángelesmeran ñun ashchai ørtrun chibig. Incha ñui srøbwan srugu srurrengwamønrrai nømui tasiimeratøga ñun kusranrrun— chibig.",bible,Mateo 4 - 6
71,Jesús le dijo: –También está escrito: No tentarás al Señor tu Dios.,Inchen Jesúsbe trenchibig køn: —Katø Tiuswei wamwan pørigube treekkucha chibig køn cha: “Ñui Señor Tiuswane ke chinchibig køtashchab lataikkucha maramig kømøn”— cha.,bible,Mateo 4 - 7
72,"De nuevo el diablo lo llevó consigo a una montaña muy alta, le mostró todos los reinos del mundo con su gloria","Katøbe nugwaimandziibe kan truba bala tunsrømay srua yabe, yu pirau chutøgucha nørreelø tru nøm ashib karub purrailanba, katø nømui chigurrimbunø tabig tørig tøgagúigwanba kenamarabe,",bible,Mateo 4 - 8
73,"y le dijo: –Todo esto te daré, si te postras y me adoras.","trenchibig køn: —Iigwan nabe kerriguba tranrrumøn cha, ñi nan srala, køriibala tabig waminchene.—",bible,Mateo 4 - 9
74,"Entonces Jesús le dijo: –Retírate, Satanás, porque está escrito: Adorarás al Señor tu Dios y sólo a él le darás culto.","Inchene Jesúsbe trencha løtabig køn: —¡Satanás, møi møi iptsu! cha. Kaguende Tiuswei wamwan pørigube trenchibig køn cha: “Señor ñui Tiuswandø køriibala tabig waminchib, nuyasiitø marøb megamig køn”— cha.",bible,Mateo 4 - 10
75,"Entonces el diablo se alejó de él, y unos ángeles se acercaron y le servían.","Inchen nugwaimandziibe nuinukkurri tarømisren, ángelesmera amrrua, purugubelø gøn Jesúswan.",bible,Mateo 4 - 11
76,"Al oír Jesús que Juan había sido encarcelado, regresó a Galilea.","Juan Bautistan kailan keeri yau keerin gøn daig Jesús wammørabe, Galileamay ibig køn.",bible,Mateo 4 - 12
77,"Dejó Nazaret y se fue a vivir a Cafarnaún, junto al lago, en la frontera entre Zabulón y Neftalí","Incha Nazaret puebloyugurri webyabe, Capernaum pueblosrø pisu menda, Zabulónwei misag warainuuba, Neftalíwei misag warainuuba tru birau tsunrrab ibig køn.",bible,Mateo 4 - 13
78,para que se cumpliera lo anunciado por el profeta Isaías:,"Øyeeg nebuppe, Tius maig karuigwan eshkabig Isaías øyah taig nebunrrain gúig køn:",bible,Mateo 4 - 14
79,"Tierra de Zabulón, tierra de Neftalí, camino del mar, al otro lado del Jordán, Galilea de los paganos.","Zabulónwei misag warainuuba, Neftalíwei misag warainuuba tru birau, Jordán bi ambøgatø tru nu bisugatømaysrø, Galilea tru judío gømeelø warainug,",bible,Mateo 4 - 15
80,El pueblo que habitaba en tinieblas vio una gran luz; a los que habitaban en una región de sombra de muerte una luz les brilló.,"misaamera løstøyu warabeløbe kan truba tørig asan chib. Kwamig nømuim bala itøgasraig lataig warabelø gøbelane kan tørig kebilin gøn, chib pørig.",bible,Mateo 4 - 16
81,"Desde entonces empezó Jesús a predicar diciendo: –Conviértanse, porque está llegando el reino de los cielos.","Trugurrimbunø Jesúsbe eshkab kusrenanøb trenchibig køn: —Kaig mariilan isua møra, Tiusweimay lliray cha. Srømbalasrø Tius nø ashib karub waibe lutau basran— cha.",bible,Mateo 4 - 17
82,"Paseando junto al lago de Galilea, vio a dos hermanos: Simón, llamado Pedro, y su hermano Andrés, que estaban echando la red en el lago, pues eran pescadores.","Jesús Galilea nu bisu mendawan ib pasrøwabe, pa nunelan ashibig køn, kane Simón, truigwane katø Pedrogucha taig, kane Andrés taig. Truiløbe peskabelø gua, nømui atarrayameran piyu keguchib warøben,",bible,Mateo 4 - 18
83,Les dijo: –Vengan conmigo y los haré pescadores de hombres.,Jesúsbe trenchiptinchibig køn: —Nai mendig amrruy cha. Nabe ñimune misaameran peskabelø gønrrai maramønrrun— cha.,bible,Mateo 4 - 19
84,"Ellos dejando inmediatamente las redes, lo siguieron.","Inchen tru urastø nømbe nømui atarrayasmeran warøb, nøba ambuptinchibelø gøn.",bible,Mateo 4 - 20
85,"Más adelante vio a otros dos hermanos: Santiago, el de Zebedeo, y su hermano Juan, que estaban en la barca con su padre Zebedeo, reparando las redes. Los llamó también,","Incha Jesúsbe katøguchi mas ambuurø yabe, katøgan pa nunelø warai ashibig køn, truiløbe Zebedeowei nusrkalø, Santiagoba, Juanba. Nømbe nui møskaimba barcoyu atarrayamera kølsrailan tamarøb purrøbene, Jesúsbe tru nusrkalan wamabig køn.",bible,Mateo 4 - 21
86,"y ellos, dejando inmediatamente la barca y a su padre, lo siguieron.","Inchen nømbe tru urastø barconba, nømui møskawanba kørrømarøppa, Jesúswei mendig ambuptinchibelø gøn.",bible,Mateo 4 - 22
87,"Jesús recorría toda Galilea, enseñando en las sinagogas judías. Anunciaba la buena noticia del reino y sanaba las enfermedades y las dolencias del pueblo.","Jesúsbe Galilea birau ørøba llirab ibig køn, judíosmera tulundzuni yamørig Tius nø ashib karub pasrainuguig tabig srø wamwan eshkab kusrenanøb. Incha misaameran chi gwanrreelan gøben, chi busrkwailan gøben tamarøbig køn.",bible,Mateo 4 - 23
88,"Su fama llegó a toda Siria; le trajeron todos los que se sentían mal, aflijidos por enfermedades y sufrimientos diversos, endemoniados, lunáticos y paralíticos, y él los sanó.","Jesúswane Siria birausrø kerrigu wammøra gua, mayan gwanrreelan srua amrrubelø gøn. Tru chi gwanrrø gøben tøgarmeran, katø ni mumayguen tab gømui mørøb inchibelan, tru kwaimandziimera tøgarmeran gøben, itønab pesannabig tøgarmeran gøben, kønønrrab gaimabelan gøben srua amrrubelø gøn. Inchen Jesúsbe tamarøbig køn.",bible,Mateo 4 - 24
89,"Y lo siguió mucha gente de Galilea, la Decápolis, Jerusalén, Judea y del otro lado del Jordán.","Inchen misaamera galileasreelø gøben, decapolissreelø gøben, jerusalénsreelø gøben, judeasreelø gøben, Jordán bi tru pørr gal-labgatøsreelø gøben Jesúswei mendig truba nu ambubelø gøn.",bible,Mateo 4 - 25
90,"Al ver tanta gente, Jesús subió a la montaña, se sentó, y se le acercaron sus discípulos.","Incha Jesúsbe misag truba rruba nuwan ashabe, kan tun bala nebya wamisren, nui kusrenanøb pera uniilø kemallen,",bible,Mateo 5 - 1
91,Entonces comenzó a enseñarles con estas palabras:,nøbe øyeeg chib kusrenanøb mendabig køn:,bible,Mateo 5 - 2
92,"Dichosos los pobres en el espíritu, porque de ellos es el reino de los cielos.","—Mayanguen tab gúilø gøn cha, tru Tiusweimburabigwan ke kagømønrraindøzhig tøgaguermab isua palai mørøbelaimbe. Kaguende srømbalasrø Tius nø ashib karub waibe nømuiwein gøn cha.",bible,Mateo 5 - 3
